strategy,classifier_threshold,detector_threshold,tp,fp,tn,fn,precision,recall,specificity,f1
detector_only,,0.25,62,104,38,19,0.37349397590361444,0.7654320987654321,0.2676056338028169,0.5020242914979757
classifier_only,0.05,,80,126,16,1,0.3883495145631068,0.9876543209876543,0.11267605633802817,0.5574912891986062
classifier_or_detector,0.05,0.25,81,142,0,0,0.3632286995515695,1.0,0.0,0.5328947368421053
classifier_only,0.1,,77,111,31,4,0.4095744680851064,0.9506172839506173,0.21830985915492956,0.5724907063197027
classifier_or_detector,0.1,0.25,81,137,5,0,0.37155963302752293,1.0,0.035211267605633804,0.5418060200668897
classifier_only,0.2,,69,83,59,12,0.45394736842105265,0.8518518518518519,0.4154929577464789,0.592274678111588
classifier_or_detector,0.2,0.25,81,130,12,0,0.38388625592417064,1.0,0.08450704225352113,0.5547945205479452
classifier_only,0.3,,57,51,91,24,0.5277777777777778,0.7037037037037037,0.6408450704225352,0.6031746031746033
classifier_or_detector,0.3,0.25,79,122,20,2,0.39303482587064675,0.9753086419753086,0.14084507042253522,0.5602836879432623
classifier_only,0.4,,47,34,108,34,0.5802469135802469,0.5802469135802469,0.7605633802816901,0.5802469135802469
classifier_or_detector,0.4,0.25,74,120,22,7,0.38144329896907214,0.9135802469135802,0.15492957746478872,0.5381818181818181
classifier_only,0.5,,36,22,120,45,0.6206896551724138,0.4444444444444444,0.8450704225352113,0.5179856115107913
classifier_or_detector,0.5,0.25,69,116,26,12,0.372972972972973,0.8518518518518519,0.18309859154929578,0.518796992481203
classifier_only,0.6,,23,10,132,58,0.696969696969697,0.2839506172839506,0.9295774647887324,0.4035087719298246
classifier_or_detector,0.6,0.25,68,109,33,13,0.384180790960452,0.8395061728395061,0.2323943661971831,0.5271317829457365
classifier_only,0.7,,6,5,137,75,0.5454545454545454,0.07407407407407407,0.9647887323943662,0.13043478260869565
classifier_or_detector,0.7,0.25,62,105,37,19,0.3712574850299401,0.7654320987654321,0.2605633802816901,0.5
classifier_only,0.8,,4,3,139,77,0.5714285714285714,0.04938271604938271,0.9788732394366197,0.09090909090909091
classifier_or_detector,0.8,0.25,62,105,37,19,0.3712574850299401,0.7654320987654321,0.2605633802816901,0.5
classifier_only,0.9,,2,0,142,79,1.0,0.024691358024691357,1.0,0.048192771084337345
classifier_or_detector,0.9,0.25,62,104,38,19,0.37349397590361444,0.7654320987654321,0.2676056338028169,0.5020242914979757
