strategy,classifier_threshold,detector_threshold,tp,fp,tn,fn,precision,recall,specificity,f1
detector_only,,0.25,33,53,89,48,0.38372093023255816,0.4074074074074074,0.6267605633802817,0.39520958083832336
classifier_only,0.05,,80,126,16,1,0.3883495145631068,0.9876543209876543,0.11267605633802817,0.5574912891986062
classifier_or_detector,0.05,0.25,81,137,5,0,0.37155963302752293,1.0,0.035211267605633804,0.5418060200668897
classifier_only,0.1,,77,111,31,4,0.4095744680851064,0.9506172839506173,0.21830985915492956,0.5724907063197027
classifier_or_detector,0.1,0.25,80,127,15,1,0.3864734299516908,0.9876543209876543,0.1056338028169014,0.5555555555555556
classifier_only,0.2,,69,83,59,12,0.45394736842105265,0.8518518518518519,0.4154929577464789,0.592274678111588
classifier_or_detector,0.2,0.25,75,107,35,6,0.41208791208791207,0.9259259259259259,0.24647887323943662,0.5703422053231939
classifier_only,0.3,,57,51,91,24,0.5277777777777778,0.7037037037037037,0.6408450704225352,0.6031746031746033
classifier_or_detector,0.3,0.25,70,88,54,11,0.4430379746835443,0.8641975308641975,0.38028169014084506,0.5857740585774057
classifier_only,0.4,,47,34,108,34,0.5802469135802469,0.5802469135802469,0.7605633802816901,0.5802469135802469
classifier_or_detector,0.4,0.25,65,80,62,16,0.4482758620689655,0.8024691358024691,0.43661971830985913,0.5752212389380531
classifier_only,0.5,,36,22,120,45,0.6206896551724138,0.4444444444444444,0.8450704225352113,0.5179856115107913
classifier_or_detector,0.5,0.25,60,70,72,21,0.46153846153846156,0.7407407407407407,0.5070422535211268,0.5687203791469195
classifier_only,0.6,,23,10,132,58,0.696969696969697,0.2839506172839506,0.9295774647887324,0.4035087719298246
classifier_or_detector,0.6,0.25,51,61,81,30,0.45535714285714285,0.6296296296296297,0.5704225352112676,0.5284974093264247
classifier_only,0.7,,6,5,137,75,0.5454545454545454,0.07407407407407407,0.9647887323943662,0.13043478260869565
classifier_or_detector,0.7,0.25,39,58,84,42,0.4020618556701031,0.48148148148148145,0.5915492957746479,0.43820224719101125
classifier_only,0.8,,4,3,139,77,0.5714285714285714,0.04938271604938271,0.9788732394366197,0.09090909090909091
classifier_or_detector,0.8,0.25,37,56,86,44,0.3978494623655914,0.4567901234567901,0.6056338028169014,0.42528735632183906
classifier_only,0.9,,2,0,142,79,1.0,0.024691358024691357,1.0,0.048192771084337345
classifier_or_detector,0.9,0.25,35,53,89,46,0.3977272727272727,0.43209876543209874,0.6267605633802817,0.41420118343195267
