split,image,label,class_id,cx,cy,width,height,area
train,datasets/brain-tumor/images/train/00054_145.jpg,datasets/brain-tumor/labels/train/00054_145.txt,1,0.344484,0.342723,0.221831,0.176056,0.039054678536
train,datasets/brain-tumor/images/train/00054_164.jpg,datasets/brain-tumor/labels/train/00054_164.txt,1,0.347418,0.335681,0.192488,0.190141,0.036599860808
train,datasets/brain-tumor/images/train/00056_110.jpg,datasets/brain-tumor/labels/train/00056_110.txt,1,0.579225,0.439554,0.111502,0.083333,0.009291796166
train,datasets/brain-tumor/images/train/00056_110.jpg,datasets/brain-tumor/labels/train/00056_110.txt,1,0.464789,0.468897,0.117371,0.106808,0.012536161768000001
train,datasets/brain-tumor/images/train/00056_129.jpg,datasets/brain-tumor/labels/train/00056_129.txt,1,0.52054,0.448944,0.233568,0.132629,0.030977890272
train,datasets/brain-tumor/images/train/00056_147.jpg,datasets/brain-tumor/labels/train/00056_147.txt,1,0.518779,0.416667,0.150235,0.070423,0.010579999405
train,datasets/brain-tumor/images/train/00056_239.jpg,datasets/brain-tumor/labels/train/00056_239.txt,1,0.638498,0.432512,0.068075,0.066901,0.004554285575
train,datasets/brain-tumor/images/train/00056_92.jpg,datasets/brain-tumor/labels/train/00056_92.txt,1,0.483568,0.4777,0.14554,0.068075,0.0099076355
train,datasets/brain-tumor/images/train/00058_102.jpg,datasets/brain-tumor/labels/train/00058_102.txt,1,0.694249,0.450117,0.088028,0.066901,0.0058891612279999995
train,datasets/brain-tumor/images/train/00058_122.jpg,datasets/brain-tumor/labels/train/00058_122.txt,1,0.703052,0.441315,0.110329,0.105634,0.011654493586
train,datasets/brain-tumor/images/train/00058_141.jpg,datasets/brain-tumor/labels/train/00058_141.txt,1,0.718897,0.429577,0.076291,0.056338,0.004298082357999999
train,datasets/brain-tumor/images/train/00058_179.jpg,datasets/brain-tumor/labels/train/00058_179.txt,1,0.496479,0.244131,0.129108,0.147887,0.019093394795999998
train,datasets/brain-tumor/images/train/00059_103.jpg,datasets/brain-tumor/labels/train/00059_103.txt,1,0.481808,0.419601,0.123239,0.149061,0.018370128579
train,datasets/brain-tumor/images/train/00059_122.jpg,datasets/brain-tumor/labels/train/00059_122.txt,1,0.460681,0.404343,0.174883,0.111502,0.019499804266000002
train,datasets/brain-tumor/images/train/00059_141.jpg,datasets/brain-tumor/labels/train/00059_141.txt,1,0.429577,0.420188,0.103286,0.077465,0.00800104999
train,datasets/brain-tumor/images/train/00059_84.jpg,datasets/brain-tumor/labels/train/00059_84.txt,1,0.473005,0.393192,0.077465,0.075117,0.005818938405000001
train,datasets/brain-tumor/images/train/00059_84.jpg,datasets/brain-tumor/labels/train/00059_84.txt,1,0.515258,0.466549,0.044601,0.038732,0.0017274859320000001
train,datasets/brain-tumor/images/train/00060_69.jpg,datasets/brain-tumor/labels/train/00060_69.txt,1,0.653756,0.425469,0.049296,0.055164,0.0027193645439999997
train,datasets/brain-tumor/images/train/00060_69.jpg,datasets/brain-tumor/labels/train/00060_69.txt,1,0.519366,0.460681,0.132629,0.099765,0.013231732185000001
train,datasets/brain-tumor/images/train/00060_70.jpg,datasets/brain-tumor/labels/train/00060_70.txt,1,0.513498,0.455986,0.125587,0.118545,0.014887710915
