epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2994,1.39573,2.87973,1.14537,0.00343,0.86087,0.0847,0.05905,1.19209,3.46098,0.99151,0.000545744,0.000545744,0.000545744
2,26.4043,1.41253,2.06138,1.14026,0.44401,0.48633,0.42959,0.22118,1.69604,2.40574,1.23996,0.000992371,0.000992371,0.000992371
3,39.3236,1.41332,1.87707,1.1414,0.37522,0.70938,0.40304,0.18007,1.74045,2.45953,1.233,0.00132898,0.00132898,0.00132898
4,52.548,1.34875,1.72269,1.10226,0.40504,0.72395,0.43038,0.26494,1.27625,1.74586,1.03821,0.0011719,0.0011719,0.0011719
5,65.1542,1.27663,1.56211,1.07313,0.44856,0.74434,0.4733,0.28357,1.36222,1.61219,1.06082,0.00100687,0.00100687,0.00100687
6,77.9434,1.2682,1.4753,1.07509,0.4505,0.75668,0.49478,0.26909,1.49828,1.49345,1.1104,0.000841835,0.000841835,0.000841835
7,90.7021,1.20728,1.42499,1.0473,0.46071,0.79266,0.48425,0.26945,1.43041,1.42048,1.05329,0.000676802,0.000676802,0.000676802
8,103.18,1.19504,1.34673,1.01794,0.47519,0.82389,0.4953,0.26337,1.58224,1.40711,1.10707,0.000511769,0.000511769,0.000511769
9,115.866,1.15335,1.29577,1.00994,0.46887,0.80962,0.50834,0.27141,1.58422,1.39622,1.10274,0.000346736,0.000346736,0.000346736
10,128.603,1.12752,1.28239,1.00242,0.45904,0.85007,0.49685,0.27017,1.4613,1.35482,1.06529,0.000181703,0.000181703,0.000181703
