epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.842,1.4347,2.27403,1.3423,0.37921,0.56728,0.35637,0.17477,1.60135,2.30656,1.44498,0.000553186,0.000553186,0.000553186
2,574.696,1.46145,1.70319,1.33761,0.13026,0.23563,0.10149,0.05506,1.6019,148.335,1.42759,0.0010869,0.0010869,0.0010869
3,861.182,1.37621,1.60227,1.26927,0.38704,0.41521,0.27691,0.15958,1.73384,2.67971,1.63353,0.0015986,0.0015986,0.0015986
4,1152.48,1.34075,1.49674,1.28355,0.39698,0.76261,0.4472,0.25039,1.56246,1.46753,1.30288,0.00156798,0.00156798,0.00156798
5,1442.32,1.29219,1.43798,1.22846,0.38042,0.68642,0.40963,0.23927,1.48733,1.62801,1.3201,0.00153497,0.00153497,0.00153497
6,1733.55,1.24674,1.41116,1.18845,0.42323,0.70048,0.46852,0.2847,1.4496,1.42942,1.25544,0.00150197,0.00150197,0.00150197
7,2020.42,1.20779,1.33053,1.17655,0.4042,0.61931,0.41443,0.26096,1.46114,1.70637,1.3466,0.00146896,0.00146896,0.00146896
8,2311.61,1.21363,1.3253,1.18794,0.42188,0.79392,0.47559,0.30915,1.22983,1.40117,1.13831,0.00143595,0.00143595,0.00143595
9,2603.67,1.2015,1.29136,1.17406,0.41784,0.75221,0.45117,0.28561,1.29927,1.38772,1.18145,0.00140295,0.00140295,0.00140295
10,2894.19,1.16206,1.27226,1.15274,0.43496,0.62364,0.44164,0.28257,1.41838,1.73284,1.20242,0.00136994,0.00136994,0.00136994
11,3183.41,1.13019,1.25705,1.10973,0.44937,0.73347,0.46788,0.3144,1.21832,1.45822,1.12869,0.00133693,0.00133693,0.00133693
12,3476.45,1.14623,1.2123,1.12039,0.46036,0.77094,0.49327,0.34626,1.15668,1.2802,1.09545,0.00130393,0.00130393,0.00130393
13,3768.25,1.08541,1.19898,1.10275,0.4203,0.80441,0.46449,0.31148,1.15884,1.31006,1.10622,0.00127092,0.00127092,0.00127092
14,4059.9,1.08343,1.19904,1.09867,0.43887,0.76993,0.46637,0.30627,1.22742,1.39084,1.13562,0.00123791,0.00123791,0.00123791
15,4349.68,1.09018,1.18886,1.09258,0.47043,0.78493,0.47308,0.32184,1.14376,1.26282,1.07633,0.00120491,0.00120491,0.00120491
16,4641.52,1.08315,1.1667,1.10225,0.45085,0.75129,0.47837,0.32337,1.1754,1.32265,1.12017,0.0011719,0.0011719,0.0011719
17,4932.86,1.04361,1.15269,1.07214,0.46461,0.8149,0.48797,0.34067,1.10653,1.21598,1.06597,0.00113889,0.00113889,0.00113889
18,5223.68,1.04723,1.12754,1.07312,0.44761,0.84113,0.50173,0.33155,1.16241,1.30001,1.09162,0.00110589,0.00110589,0.00110589
19,5514.21,1.00508,1.1121,1.04884,0.44447,0.75586,0.48893,0.3354,1.1294,1.22648,1.07698,0.00107288,0.00107288,0.00107288
20,5807.65,1.02909,1.1194,1.05994,0.46677,0.75308,0.48386,0.32749,1.13374,1.22123,1.07315,0.00103987,0.00103987,0.00103987
21,6100.32,1.0077,1.10657,1.05588,0.46241,0.75502,0.50127,0.33926,1.17129,1.28416,1.10794,0.00100687,0.00100687,0.00100687
22,6392.77,0.97819,1.08228,1.04037,0.44934,0.80675,0.48979,0.33227,1.16306,1.25777,1.10593,0.000973861,0.000973861,0.000973861
23,6684.87,0.96511,1.05462,1.03312,0.45198,0.79714,0.47848,0.31809,1.16989,1.21574,1.09841,0.000940855,0.000940855,0.000940855
24,6974.65,0.9955,1.06434,1.05002,0.44753,0.76993,0.47587,0.31911,1.16424,1.24382,1.09307,0.000907848,0.000907848,0.000907848
25,7267.38,0.96227,1.04562,1.03345,0.45202,0.81915,0.51497,0.35802,1.09787,1.20029,1.0692,0.000874842,0.000874842,0.000874842
26,7553.59,0.9572,1.05917,1.02352,0.47163,0.81365,0.51136,0.34899,1.13056,1.23873,1.07536,0.000841835,0.000841835,0.000841835
27,7842.1,0.95794,1.05736,1.0235,0.47057,0.83139,0.4992,0.33828,1.12761,1.21534,1.06388,0.000808828,0.000808828,0.000808828
28,8132.24,0.90766,1.0165,1.01214,0.45781,0.81889,0.48687,0.33668,1.0924,1.18483,1.05404,0.000775822,0.000775822,0.000775822
29,8421.38,0.95541,1.01499,1.02992,0.44973,0.8049,0.48776,0.33255,1.14498,1.22369,1.08308,0.000742815,0.000742815,0.000742815
30,8714.1,0.91389,0.98807,1.00467,0.45817,0.84837,0.50728,0.35328,1.05372,1.19828,1.04813,0.000709809,0.000709809,0.000709809
31,9007.64,0.92699,1.01166,1.01003,0.47112,0.8109,0.5139,0.33845,1.15178,1.23846,1.08304,0.000676802,0.000676802,0.000676802
32,9299.9,0.9097,0.95703,0.99955,0.45655,0.82863,0.4852,0.33075,1.13421,1.29209,1.07852,0.000643795,0.000643795,0.000643795
33,9590.66,0.89144,0.9437,0.9903,0.47703,0.76194,0.50787,0.35303,1.12369,1.34877,1.08255,0.000610789,0.000610789,0.000610789
34,9879.11,0.88194,0.9683,0.97797,0.44849,0.81593,0.47093,0.31431,1.27332,1.30705,1.14531,0.000577782,0.000577782,0.000577782
35,10171.9,0.88844,0.91954,0.98723,0.4449,0.80915,0.51145,0.35601,1.10988,1.27632,1.07,0.000544776,0.000544776,0.000544776
36,10464.6,0.86705,0.88816,0.97507,0.4559,0.76047,0.49155,0.3421,1.07941,1.36122,1.06191,0.000511769,0.000511769,0.000511769
37,10756.2,0.86964,0.85946,0.98052,0.44925,0.8074,0.49844,0.34382,1.13754,1.40903,1.07444,0.000478762,0.000478762,0.000478762
38,11048.4,0.85859,0.83645,0.97577,0.46068,0.81946,0.50339,0.34492,1.13372,1.3428,1.07951,0.000445756,0.000445756,0.000445756
39,11342,0.86156,0.82914,0.97705,0.43875,0.76209,0.49424,0.34804,1.10586,1.38137,1.05253,0.000412749,0.000412749,0.000412749
40,11629.3,0.85415,0.8421,0.97553,0.48337,0.75817,0.49547,0.33863,1.13966,1.34433,1.08159,0.000379743,0.000379743,0.000379743
41,11919.3,0.82065,0.776,0.95138,0.44294,0.81165,0.48923,0.33497,1.18895,1.41872,1.08865,0.000346736,0.000346736,0.000346736
42,12205.9,0.8051,0.75953,0.94948,0.46692,0.77743,0.49028,0.33323,1.13905,1.41666,1.06799,0.000313729,0.000313729,0.000313729
43,12493.3,0.80225,0.71776,0.94105,0.42988,0.77866,0.45908,0.3132,1.12319,1.48509,1.07188,0.000280723,0.000280723,0.000280723
44,12782.6,0.78225,0.70686,0.93989,0.43089,0.78717,0.46832,0.31928,1.17855,1.59104,1.1046,0.000247716,0.000247716,0.000247716
45,13070.6,0.78213,0.65767,0.93099,0.41771,0.78691,0.45341,0.30777,1.1539,1.56281,1.08112,0.00021471,0.00021471,0.00021471
46,13360.4,0.76012,0.66149,0.92607,0.46488,0.81241,0.47967,0.33178,1.12471,1.6108,1.07547,0.000181703,0.000181703,0.000181703
47,13651.1,0.76126,0.64161,0.92763,0.4481,0.78142,0.47489,0.32895,1.12416,1.51886,1.07334,0.000148696,0.000148696,0.000148696
48,13938.7,0.75021,0.60429,0.92438,0.45229,0.76954,0.4771,0.33014,1.13952,1.63294,1.07109,0.00011569,0.00011569,0.00011569
49,14228.7,0.75113,0.59639,0.91366,0.43508,0.76168,0.45752,0.32216,1.1171,1.6718,1.0763,8.26832e-05,8.26832e-05,8.26832e-05
50,14518.2,0.73688,0.57732,0.90753,0.44072,0.77426,0.45681,0.3189,1.13986,1.75615,1.08998,4.96766e-05,4.96766e-05,4.96766e-05
