epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8562,1.26644,3.45983,1.19668,0.48681,0.33071,0.36735,0.25221,1.1514,3.51519,1.08243,0.000550705,0.000550705,0.000550705
2,108.091,1.22981,2.54836,1.18161,0.41424,0.46694,0.32716,0.19932,1.37929,3.17152,1.19592,0.00108447,0.00108447,0.00108447
3,161.655,1.22345,2.10502,1.16645,0.43858,0.67618,0.45618,0.29691,1.19998,2.07867,1.12641,0.00159622,0.00159622,0.00159622
4,220.885,1.15056,1.75349,1.14619,0.45986,0.77168,0.46591,0.31211,1.2095,1.87063,1.14256,0.00156798,0.00156798,0.00156798
5,278.078,1.13326,1.54543,1.1227,0.3962,0.74145,0.40575,0.25649,1.32992,1.88742,1.16606,0.00153497,0.00153497,0.00153497
6,333.795,1.09579,1.43403,1.10316,0.43857,0.84587,0.49571,0.32596,1.18411,1.51336,1.10169,0.00150197,0.00150197,0.00150197
7,388.801,1.06185,1.33014,1.09261,0.45921,0.79146,0.4887,0.32595,1.13549,1.4687,1.08555,0.00146896,0.00146896,0.00146896
8,443.517,1.08775,1.2872,1.10341,0.469,0.77738,0.51578,0.34661,1.14227,1.37062,1.06806,0.00143595,0.00143595,0.00143595
9,498.502,1.06537,1.24712,1.09099,0.48575,0.79116,0.51132,0.34812,1.16525,1.33381,1.09386,0.00140295,0.00140295,0.00140295
10,552.987,1.04085,1.20647,1.06897,0.45146,0.78918,0.48715,0.32283,1.23035,1.4909,1.13047,0.00136994,0.00136994,0.00136994
11,607.833,1.0148,1.15901,1.05847,0.43607,0.83186,0.46818,0.30782,1.18875,1.40525,1.1071,0.00133693,0.00133693,0.00133693
12,662.237,1.01747,1.12532,1.06074,0.46832,0.76634,0.49383,0.33883,1.16656,1.27861,1.07541,0.00130393,0.00130393,0.00130393
13,716.474,0.99804,1.11922,1.04829,0.45735,0.83647,0.49381,0.33989,1.13072,1.29512,1.05011,0.00127092,0.00127092,0.00127092
14,771.108,0.99751,1.07839,1.04641,0.47753,0.73044,0.52215,0.36872,1.07611,1.23484,1.06284,0.00123791,0.00123791,0.00123791
15,825.794,0.98719,1.07423,1.03226,0.45452,0.76194,0.4994,0.32235,1.25585,1.31501,1.10856,0.00120491,0.00120491,0.00120491
16,879.54,0.96858,1.06005,1.03496,0.42475,0.83799,0.4783,0.31491,1.15432,1.40578,1.07602,0.0011719,0.0011719,0.0011719
17,933.187,0.92146,1.02616,1.00143,0.41387,0.85737,0.44729,0.31925,1.01561,1.3183,1.01615,0.00113889,0.00113889,0.00113889
18,987.499,0.93091,0.99116,1.01547,0.43891,0.81889,0.47504,0.33318,1.05107,1.26617,1.0391,0.00110589,0.00110589,0.00110589
19,1041.49,0.92825,0.97929,1.01332,0.45097,0.83262,0.4496,0.30557,1.12319,1.25957,1.06158,0.00107288,0.00107288,0.00107288
20,1096.37,0.93607,0.97139,1.01454,0.39319,0.77471,0.42009,0.29441,1.1026,1.62193,1.06492,0.00103987,0.00103987,0.00103987
21,1150.95,0.92313,0.95722,1.00575,0.40292,0.79771,0.43606,0.28617,1.18542,1.4651,1.08495,0.00100687,0.00100687,0.00100687
22,1205.42,0.93111,0.97133,1.01046,0.40923,0.85412,0.46207,0.31655,1.05059,1.47589,1.05419,0.000973861,0.000973861,0.000973861
23,1260.06,0.89402,0.90979,0.99331,0.40904,0.80291,0.43786,0.29009,1.16699,1.31791,1.07049,0.000940855,0.000940855,0.000940855
24,1314.17,0.91084,0.93656,1.00265,0.42065,0.87259,0.46942,0.32598,1.07643,1.26892,1.05836,0.000907848,0.000907848,0.000907848
25,1369.33,0.89526,0.89426,1.00171,0.44108,0.79818,0.49012,0.33149,1.09805,1.379,1.08041,0.000874842,0.000874842,0.000874842
26,1424.03,0.88826,0.89609,0.98804,0.40831,0.84993,0.4906,0.32942,1.12309,1.38929,1.05652,0.000841835,0.000841835,0.000841835
27,1478.12,0.86971,0.90351,0.98194,0.44596,0.75113,0.49747,0.33715,1.09682,1.21084,1.05522,0.000808828,0.000808828,0.000808828
28,1532.48,0.86113,0.84012,0.97675,0.44384,0.80292,0.48424,0.33606,1.09951,1.37338,1.04785,0.000775822,0.000775822,0.000775822
29,1586.68,0.85596,0.81457,0.97308,0.4437,0.86087,0.52598,0.35345,1.14266,1.41656,1.08002,0.000742815,0.000742815,0.000742815
30,1640.68,0.84195,0.80305,0.96612,0.44078,0.84938,0.48314,0.34082,1.08503,1.48231,1.04757,0.000709809,0.000709809,0.000709809
31,1695.88,0.83828,0.80216,0.96029,0.39878,0.83755,0.47841,0.32688,1.14362,1.5657,1.07107,0.000676802,0.000676802,0.000676802
32,1749.68,0.84656,0.77477,0.97607,0.42773,0.83134,0.48501,0.32927,1.11244,1.3621,1.08662,0.000643795,0.000643795,0.000643795
33,1804.01,0.81943,0.72348,0.95698,0.41364,0.82953,0.45895,0.32003,1.08208,1.46598,1.0464,0.000610789,0.000610789,0.000610789
34,1858.05,0.81869,0.71321,0.93966,0.43411,0.80461,0.47926,0.32579,1.09239,1.42392,1.04766,0.000577782,0.000577782,0.000577782
35,1911.83,0.82176,0.70744,0.95049,0.42454,0.81893,0.49009,0.335,1.11058,1.59563,1.07138,0.000544776,0.000544776,0.000544776
