epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.837,1.24901,3.44801,1.22702,0.35925,0.7046,0.41779,0.24495,1.39101,2.35779,1.23953,0.000550705,0.000550705,0.000550705
2,256.079,1.28651,1.59933,1.22113,0.39754,0.73123,0.44843,0.26339,1.41687,1.74238,1.29318,0.00108447,0.00108447,0.00108447
3,384.227,1.23239,1.43737,1.17705,0.42882,0.40973,0.28467,0.18507,1.49479,2.50267,1.3097,0.00159622,0.00159622,0.00159622
4,511.689,1.24263,1.37731,1.18484,0.41565,0.70122,0.4322,0.28653,1.2686,1.57327,1.14352,0.00156798,0.00156798,0.00156798
5,641.268,1.20783,1.3565,1.15676,0.42498,0.67743,0.43212,0.26904,1.36526,1.56512,1.20553,0.00153497,0.00153497,0.00153497
6,777.206,1.17264,1.29795,1.12928,0.42993,0.72049,0.41807,0.25287,1.33282,1.50491,1.183,0.00150197,0.00150197,0.00150197
7,906.55,1.16152,1.24777,1.13676,0.38957,0.78349,0.43784,0.28371,1.27352,1.54131,1.14095,0.00146896,0.00146896,0.00146896
8,1035.65,1.12093,1.21366,1.12173,0.46353,0.74869,0.47964,0.32078,1.21415,1.30571,1.10665,0.00143595,0.00143595,0.00143595
9,1164.55,1.08861,1.16751,1.10205,0.45524,0.73281,0.47036,0.30386,1.24003,1.32306,1.14626,0.00140295,0.00140295,0.00140295
10,1293.71,1.06463,1.16569,1.08133,0.43007,0.76745,0.47146,0.31576,1.18154,1.3286,1.08443,0.00136994,0.00136994,0.00136994
11,1423.01,1.05719,1.15196,1.07558,0.46127,0.80814,0.47431,0.32198,1.15664,1.32151,1.07784,0.00133693,0.00133693,0.00133693
12,1549.9,1.05714,1.12991,1.07516,0.44738,0.81684,0.4559,0.30985,1.14959,1.24107,1.08366,0.00130393,0.00130393,0.00130393
13,1679.39,1.02004,1.11397,1.05466,0.42857,0.82714,0.46303,0.30569,1.22572,1.50252,1.11571,0.00127092,0.00127092,0.00127092
14,1806.4,1.02804,1.10658,1.05835,0.46589,0.81964,0.48772,0.34009,1.0895,1.21916,1.05996,0.00123791,0.00123791,0.00123791
15,1935.86,1.00306,1.12141,1.04446,0.47489,0.74925,0.46815,0.3322,1.0608,1.30436,1.05739,0.00120491,0.00120491,0.00120491
16,2064.44,1.01719,1.09457,1.05711,0.46685,0.81512,0.48579,0.32207,1.21175,1.20627,1.11418,0.0011719,0.0011719,0.0011719
17,2192.82,0.97063,1.05534,1.02708,0.4712,0.82139,0.484,0.33714,1.11264,1.19373,1.05836,0.00113889,0.00113889,0.00113889
18,2320.81,0.96388,1.03664,1.03069,0.45368,0.84626,0.49539,0.32956,1.14075,1.29323,1.08841,0.00110589,0.00110589,0.00110589
19,2449.66,0.96505,1.03243,1.02926,0.45881,0.77268,0.4786,0.33601,1.0454,1.19029,1.04599,0.00107288,0.00107288,0.00107288
20,2578.09,0.95239,1.01267,1.01936,0.46101,0.84162,0.50665,0.351,1.05224,1.15085,1.03367,0.00103987,0.00103987,0.00103987
21,2706.72,0.9724,1.0349,1.03517,0.44058,0.85737,0.4862,0.30528,1.27922,1.35341,1.1372,0.00100687,0.00100687,0.00100687
22,2834.47,0.96413,1.01781,1.02589,0.4711,0.84837,0.48787,0.33945,1.04237,1.18724,1.03814,0.000973861,0.000973861,0.000973861
23,2962.44,0.93655,0.99781,1.01442,0.45333,0.83561,0.51256,0.35471,1.14188,1.13602,1.06716,0.000940855,0.000940855,0.000940855
24,3089.94,0.9639,1.00571,1.03037,0.46822,0.82639,0.52602,0.36023,1.02885,1.17853,1.02454,0.000907848,0.000907848,0.000907848
25,3218.48,0.91291,0.96057,1.00424,0.45513,0.82652,0.48608,0.33273,1.11843,1.25123,1.0788,0.000874842,0.000874842,0.000874842
26,3347.21,0.91075,0.95811,0.99117,0.41325,0.83518,0.50849,0.34686,1.07928,1.22387,1.04246,0.000841835,0.000841835,0.000841835
27,3477.68,0.90876,0.97924,0.99483,0.4461,0.84837,0.47602,0.32465,1.13175,1.23478,1.07037,0.000808828,0.000808828,0.000808828
28,3608.4,0.88369,0.93731,0.99407,0.47304,0.71447,0.50975,0.36176,1.05442,1.20468,1.03354,0.000775822,0.000775822,0.000775822
29,3737.56,0.90621,0.914,0.99559,0.45133,0.82012,0.47877,0.3353,1.11652,1.25866,1.06176,0.000742815,0.000742815,0.000742815
30,3865.94,0.87794,0.88434,0.98221,0.4718,0.77901,0.50327,0.35587,1.04091,1.24524,1.03252,0.000709809,0.000709809,0.000709809
31,3993.45,0.88231,0.89485,0.9772,0.45847,0.83303,0.49342,0.34587,1.09716,1.27074,1.06577,0.000676802,0.000676802,0.000676802
32,4122.73,0.89448,0.85512,0.98629,0.44926,0.81258,0.50741,0.33671,1.23638,1.38261,1.11654,0.000643795,0.000643795,0.000643795
33,4250.46,0.87135,0.84857,0.97821,0.43897,0.80656,0.45921,0.3159,1.15906,1.35553,1.07334,0.000610789,0.000610789,0.000610789
34,4379.06,0.85751,0.82834,0.95782,0.44299,0.82688,0.48639,0.32889,1.15,1.287,1.07229,0.000577782,0.000577782,0.000577782
35,4506.65,0.85523,0.81176,0.96772,0.47793,0.75545,0.52495,0.36297,1.1611,1.38805,1.06843,0.000544776,0.000544776,0.000544776
36,4633.29,0.82495,0.76508,0.9482,0.47744,0.73174,0.49285,0.33677,1.11612,1.41008,1.06569,0.000511769,0.000511769,0.000511769
37,4759.45,0.82245,0.76029,0.95651,0.43386,0.79142,0.48091,0.32653,1.08064,1.5649,1.0446,0.000478762,0.000478762,0.000478762
38,4888.96,0.81184,0.72732,0.95431,0.42868,0.8274,0.4834,0.32642,1.11019,1.40561,1.05717,0.000445756,0.000445756,0.000445756
39,5017.11,0.80686,0.70759,0.95061,0.44671,0.74821,0.47935,0.327,1.10678,1.44309,1.04404,0.000412749,0.000412749,0.000412749
40,5145.33,0.80291,0.71548,0.94751,0.47173,0.78413,0.49788,0.34326,1.11984,1.32691,1.06466,0.000379743,0.000379743,0.000379743
41,5272.84,0.79427,0.63398,0.93672,0.42592,0.83195,0.45776,0.31377,1.14502,1.53824,1.05606,0.000346736,0.000346736,0.000346736
42,5400.97,0.78442,0.63818,0.93198,0.4269,0.8047,0.48888,0.3448,1.08981,1.69045,1.04932,0.000313729,0.000313729,0.000313729
43,5528.11,0.75874,0.59249,0.92078,0.42886,0.79129,0.46976,0.33789,1.0651,1.51079,1.0348,0.000280723,0.000280723,0.000280723
44,5656.84,0.75218,0.60069,0.926,0.44281,0.80665,0.47008,0.32575,1.14028,1.56863,1.05475,0.000247716,0.000247716,0.000247716
