image,label,max_positive_conf,cx,cy,width,height,area,pixel_width,pixel_height,roi_mean,roi_std,relative_contrast,x_bucket,y_bucket
datasets/brain-tumor/images/val/val_1 (1).jpg,datasets/brain-tumor/labels/val/val_1 (1).txt,0.05508773773908615,0.378521,0.490023,0.09507,0.099765,0.00948465855,50,52,121.6723076923077,34.86433490719004,1.2458184682803009,mid,mid
datasets/brain-tumor/images/val/val_1 (100).jpg,datasets/brain-tumor/labels/val/val_1 (100).txt,0.24849848449230194,0.386737,0.321596,0.17723,0.126761,0.02246585203,91,66,75.58208458208458,33.86335942586372,1.4044002382698104,mid,low
datasets/brain-tumor/images/val/val_1 (102).jpg,datasets/brain-tumor/labels/val/val_1 (102).txt,0.14599578082561493,0.481221,0.282277,0.046948,0.116197,0.005455216755999999,25,60,112.614,22.712397583698646,0.741573961082963,mid,low
datasets/brain-tumor/images/val/val_1 (105).jpg,datasets/brain-tumor/labels/val/val_1 (105).txt,0.011825094930827618,0.710681,0.24061,0.080986,0.070423,0.005703277078,43,37,139.28912633563797,53.43234119929114,1.7945294999093757,high,low
datasets/brain-tumor/images/val/val_1 (110).jpg,datasets/brain-tumor/labels/val/val_1 (110).txt,0.160564586520195,0.502934,0.129108,0.064554,0.08216,0.00530375664,34,43,150.82421340629276,53.38187941451544,1.4123637931251474,mid,low
datasets/brain-tumor/images/val/val_1 (110).jpg,datasets/brain-tumor/labels/val/val_1 (110).txt,0.160564586520195,0.538146,0.254108,0.052817,0.059859,0.0031615728030000003,28,31,142.00806451612902,40.41836147322365,1.0693784285665853,mid,low
datasets/brain-tumor/images/val/val_1 (111).jpg,datasets/brain-tumor/labels/val/val_1 (111).txt,0.04646320268511772,0.468897,0.329812,0.066901,0.046948,0.003140868148,35,25,98.88571428571429,13.485932201629176,0.41873009642416675,mid,low
datasets/brain-tumor/images/val/val_1 (117).jpg,datasets/brain-tumor/labels/val/val_1 (117).txt,0.22363027930259705,0.44777,0.236502,0.120892,0.102113,0.012344644795999999,63,53,143.0512129380054,32.40938824503435,0.8550189753304799,mid,low
datasets/brain-tumor/images/val/val_1 (117).jpg,datasets/brain-tumor/labels/val/val_1 (117).txt,0.22363027930259705,0.507042,0.13615,0.053991,0.075117,0.004055641947,28,40,143.8919642857143,47.27842991711226,1.2472915069341626,mid,low
datasets/brain-tumor/images/val/val_1 (117).jpg,datasets/brain-tumor/labels/val/val_1 (117).txt,0.22363027930259705,0.538146,0.256455,0.052817,0.050469,0.002665621173,28,27,133.58862433862433,39.52065734988242,1.042627268870488,mid,low
datasets/brain-tumor/images/val/val_1 (121).jpg,datasets/brain-tumor/labels/val/val_1 (121).txt,0.08959779143333435,0.396714,0.437793,0.093897,0.129108,0.012122853876,49,67,124.39750228449589,47.608900957236926,1.4052656432056942,mid,mid
datasets/brain-tumor/images/val/val_1 (136).jpg,datasets/brain-tumor/labels/val/val_1 (136).txt,0.04464317113161087,0.409038,0.336854,0.158451,0.100939,0.015993885489,82,52,85.5844277673546,39.161274778900804,1.4616017400194268,mid,mid
datasets/brain-tumor/images/val/val_1 (138).jpg,datasets/brain-tumor/labels/val/val_1 (138).txt,0.013834485784173012,0.666667,0.423709,0.112676,0.171362,0.019308384712,59,89,65.63111788230813,29.484508084338785,1.0347047914799803,high,mid
datasets/brain-tumor/images/val/val_1 (140).jpg,datasets/brain-tumor/labels/val/val_1 (140).txt,0.010580912232398987,0.321596,0.390258,0.061033,0.09507,0.0058024073099999995,32,50,105.790625,54.06370582109013,2.2038958625838787,low,mid
datasets/brain-tumor/images/val/val_1 (144).jpg,datasets/brain-tumor/labels/val/val_1 (144).txt,0.012559489347040653,0.361502,0.217723,0.079812,0.083333,0.006650973396,42,44,83.21536796536796,21.38183934718738,0.7179097270115382,mid,low
datasets/brain-tumor/images/val/val_1 (145).jpg,datasets/brain-tumor/labels/val/val_1 (145).txt,0.060329947620630264,0.377347,0.399061,0.134977,0.14554,0.019644552580000002,70,76,99.31484962406014,40.73989479133404,1.4030361052183302,mid,mid
datasets/brain-tumor/images/val/val_1 (146).jpg,datasets/brain-tumor/labels/val/val_1 (146).txt,0.1635376662015915,0.61385,0.35446,0.084507,0.06338,0.00535605366,44,34,164.56751336898395,37.70309691273806,1.081285280490941,mid,mid
datasets/brain-tumor/images/val/val_1 (151).jpg,datasets/brain-tumor/labels/val/val_1 (151).txt,0.09714341163635254,0.313967,0.336268,0.066901,0.062207,0.004161710507,35,33,117.97662337662338,36.48649597588695,1.1142051457377857,low,mid
datasets/brain-tumor/images/val/val_1 (152).jpg,datasets/brain-tumor/labels/val/val_1 (152).txt,0.13585637509822845,0.610329,0.357394,0.086854,0.071596,0.006218398984,46,37,179.46004700352526,43.04303849480198,1.0916220801867835,mid,mid
datasets/brain-tumor/images/val/val_1 (156).jpg,datasets/brain-tumor/labels/val/val_1 (156).txt,0.08874649554491043,0.363263,0.217136,0.132629,0.107981,0.014321412048999999,69,56,93.53933747412009,22.47820442329015,0.6867036307179832,mid,low
datasets/brain-tumor/images/val/val_1 (157).jpg,datasets/brain-tumor/labels/val/val_1 (157).txt,0.21737632155418396,0.38615,0.248239,0.124413,0.11385,0.014164420050000001,65,59,102.4,27.91547308481251,0.8616296693143611,mid,low
datasets/brain-tumor/images/val/val_1 (158).jpg,datasets/brain-tumor/labels/val/val_1 (158).txt,0.2346930205821991,0.607981,0.350939,0.096244,0.100939,0.009714773115999999,50,53,144.8645283018868,46.16722829208753,1.2923925783572006,mid,mid
datasets/brain-tumor/images/val/val_1 (16).jpg,datasets/brain-tumor/labels/val/val_1 (16).txt,0.048767976462841034,0.311033,0.419014,0.100939,0.068075,0.006871422425,53,36,118.01205450733752,55.45624903466635,1.7851345107695875,low,mid
datasets/brain-tumor/images/val/val_1 (162).jpg,datasets/brain-tumor/labels/val/val_1 (162).txt,0.09338058531284332,0.349765,0.188967,0.077465,0.075117,0.005818938405000001,41,39,109.60225140712946,36.25685789991761,1.199571945971398,mid,low
datasets/brain-tumor/images/val/val_1 (164).jpg,datasets/brain-tumor/labels/val/val_1 (164).txt,0.11054439097642899,0.568075,0.328638,0.255869,0.213615,0.054657456435,132,110,58.474862258953166,19.342777256790733,0.8055404821180404,mid,low
datasets/brain-tumor/images/val/val_1 (166).jpg,datasets/brain-tumor/labels/val/val_1 (166).txt,0.1460477113723755,0.3527,0.187793,0.092723,0.086854,0.008053363442,48,45,113.82685185185186,36.342285101317714,1.201044521059735,mid,low
