image,label,max_positive_conf,cx,cy,width,height,area,pixel_width,pixel_height,roi_mean,roi_std,relative_contrast,x_bucket,y_bucket
datasets/brain-tumor/images/val/val_1 (100).jpg,datasets/brain-tumor/labels/val/val_1 (100).txt,0.04896773770451546,0.386737,0.321596,0.17723,0.126761,0.02246585203,91,66,75.58208458208458,33.86335942586372,1.4044002382698104,mid,low
datasets/brain-tumor/images/val/val_1 (104).jpg,datasets/brain-tumor/labels/val/val_1 (104).txt,0.1404629647731781,0.380869,0.328638,0.17723,0.126761,0.02246585203,91,66,93.3877788877789,47.45571548538171,1.742189829272432,mid,low
datasets/brain-tumor/images/val/val_1 (118).jpg,datasets/brain-tumor/labels/val/val_1 (118).txt,0.09930513799190521,0.382629,0.337441,0.190141,0.123239,0.023432786699,99,64,82.21117424242425,43.37167492433704,1.6773903146948177,mid,mid
datasets/brain-tumor/images/val/val_1 (138).jpg,datasets/brain-tumor/labels/val/val_1 (138).txt,0.010602278634905815,0.666667,0.423709,0.112676,0.171362,0.019308384712,59,89,65.63111788230813,29.484508084338785,1.0347047914799803,high,mid
datasets/brain-tumor/images/val/val_1 (14).jpg,datasets/brain-tumor/labels/val/val_1 (14).txt,0.0,0.656103,0.40669,0.178404,0.193662,0.034550075448000005,93,100,55.71225806451613,48.48653953837623,2.070217162608293,mid,mid
datasets/brain-tumor/images/val/val_1 (140).jpg,datasets/brain-tumor/labels/val/val_1 (140).txt,0.12496013939380646,0.321596,0.390258,0.061033,0.09507,0.0058024073099999995,32,50,105.790625,54.06370582109013,2.2038958625838787,low,mid
datasets/brain-tumor/images/val/val_1 (141).jpg,datasets/brain-tumor/labels/val/val_1 (141).txt,0.2339044213294983,0.353286,0.356808,0.185446,0.192488,0.035696129648,96,100,80.88697916666666,43.891004170838535,1.6762161966489584,mid,mid
datasets/brain-tumor/images/val/val_1 (146).jpg,datasets/brain-tumor/labels/val/val_1 (146).txt,0.0,0.61385,0.35446,0.084507,0.06338,0.00535605366,44,34,164.56751336898395,37.70309691273806,1.081285280490941,mid,mid
datasets/brain-tumor/images/val/val_1 (151).jpg,datasets/brain-tumor/labels/val/val_1 (151).txt,0.021551042795181274,0.313967,0.336268,0.066901,0.062207,0.004161710507,35,33,117.97662337662338,36.48649597588695,1.1142051457377857,low,mid
datasets/brain-tumor/images/val/val_1 (156).jpg,datasets/brain-tumor/labels/val/val_1 (156).txt,0.0,0.363263,0.217136,0.132629,0.107981,0.014321412048999999,69,56,93.53933747412009,22.47820442329015,0.6867036307179832,mid,low
datasets/brain-tumor/images/val/val_1 (16).jpg,datasets/brain-tumor/labels/val/val_1 (16).txt,0.0,0.311033,0.419014,0.100939,0.068075,0.006871422425,53,36,118.01205450733752,55.45624903466635,1.7851345107695875,low,mid
datasets/brain-tumor/images/val/val_1 (163).jpg,datasets/brain-tumor/labels/val/val_1 (163).txt,0.025587866082787514,0.6473,0.339789,0.045775,0.062207,0.002847525425,24,33,162.45454545454547,37.33151313941396,0.8117805586046682,mid,mid
datasets/brain-tumor/images/val/val_1 (181).jpg,datasets/brain-tumor/labels/val/val_1 (181).txt,0.01472723763436079,0.657277,0.338615,0.08216,0.076291,0.006268068559999999,44,40,166.18125,31.64412538157395,0.6604620698901472,mid,mid
datasets/brain-tumor/images/val/val_1 (21).jpg,datasets/brain-tumor/labels/val/val_1 (21).txt,0.036240462213754654,0.566315,0.093897,0.10446,0.093897,0.009808480619999999,55,49,65.07940630797773,20.04133953071908,0.7534859733882894,mid,low
datasets/brain-tumor/images/val/val_1 (25).jpg,datasets/brain-tumor/labels/val/val_1 (25).txt,0.1220063641667366,0.503521,0.258216,0.098592,0.103286,0.010183173312,51,54,77.88198983297022,28.47112876392726,0.9451701514003261,mid,low
datasets/brain-tumor/images/val/val_1 (75).jpg,datasets/brain-tumor/labels/val/val_1 (75).txt,0.0,0.620305,0.414906,0.080986,0.09507,0.00769933902,42,50,119.21428571428571,36.99076829123059,1.1250487504729882,mid,mid
datasets/brain-tumor/images/val/val_1 (76).jpg,datasets/brain-tumor/labels/val/val_1 (76).txt,0.0,0.619131,0.409038,0.109155,0.111502,0.01217100081,57,58,120.14821536600121,41.250937676452004,1.0390502675632125,mid,mid
datasets/brain-tumor/images/val/val_1 (77).jpg,datasets/brain-tumor/labels/val/val_1 (77).txt,0.0,0.61385,0.407277,0.08216,0.08216,0.006750265599999999,43,44,137.18128964059196,27.731409765004486,0.6863572019460767,mid,mid
datasets/brain-tumor/images/val/val_1 (85).jpg,datasets/brain-tumor/labels/val/val_1 (85).txt,0.0,0.407864,0.328052,0.137324,0.125587,0.017246109188,71,65,69.03033586132177,38.14103312723548,1.955453794313573,mid,low
