threshold,tp,fp,tn,fn,precision,recall,specificity,f1
0.01,80,140,2,1,0.36363636363636365,0.9876543209876543,0.014084507042253521,0.5315614617940199
0.03,71,127,15,10,0.35858585858585856,0.8765432098765432,0.1056338028169014,0.5089605734767025
0.05,65,114,28,16,0.36312849162011174,0.8024691358024691,0.19718309859154928,0.5
0.08,62,102,40,19,0.3780487804878049,0.7654320987654321,0.28169014084507044,0.5061224489795919
0.1,56,93,49,25,0.37583892617449666,0.691358024691358,0.34507042253521125,0.48695652173913045
0.15,48,73,69,33,0.39669421487603307,0.5925925925925926,0.4859154929577465,0.4752475247524752
0.2,45,63,79,36,0.4166666666666667,0.5555555555555556,0.5563380281690141,0.4761904761904762
0.25,33,53,89,48,0.38372093023255816,0.4074074074074074,0.6267605633802817,0.39520958083832336
0.3,25,43,99,56,0.36764705882352944,0.30864197530864196,0.6971830985915493,0.3355704697986577
0.4,11,36,106,70,0.23404255319148937,0.13580246913580246,0.7464788732394366,0.171875
0.5,6,22,120,75,0.21428571428571427,0.07407407407407407,0.8450704225352113,0.11009174311926605
