threshold,tp,fp,tn,fn,precision,recall,specificity,f1
0.01,81,142,0,0,0.3632286995515695,1.0,0.0,0.5328947368421053
0.03,80,142,0,1,0.36036036036036034,0.9876543209876543,0.0,0.528052805280528
0.05,80,142,0,1,0.36036036036036034,0.9876543209876543,0.0,0.528052805280528
0.08,80,142,0,1,0.36036036036036034,0.9876543209876543,0.0,0.528052805280528
0.1,80,141,1,1,0.36199095022624433,0.9876543209876543,0.007042253521126761,0.5298013245033112
0.15,79,135,7,2,0.3691588785046729,0.9753086419753086,0.04929577464788732,0.535593220338983
0.2,77,132,10,4,0.3684210526315789,0.9506172839506173,0.07042253521126761,0.5310344827586206
0.25,75,123,19,6,0.3787878787878788,0.9259259259259259,0.13380281690140844,0.5376344086021505
0.3,71,115,27,10,0.3817204301075269,0.8765432098765432,0.19014084507042253,0.5318352059925093
0.4,58,102,40,23,0.3625,0.7160493827160493,0.28169014084507044,0.4813278008298755
0.5,33,59,83,48,0.358695652173913,0.4074074074074074,0.5845070422535211,0.3815028901734104
