image,label,actual_positive,max_positive_conf,max_any_conf,top_class,top_conf
datasets/brain-tumor/images/val/val_1 (1).jpg,datasets/brain-tumor/labels/val/val_1 (1).txt,True,0.8902242183685303,0.8902242183685303,1,0.8902242183685303
datasets/brain-tumor/images/val/val_1 (10).jpg,datasets/brain-tumor/labels/val/val_1 (10).txt,False,0.42580196261405945,0.8955950736999512,0,0.8955950736999512
datasets/brain-tumor/images/val/val_1 (100).jpg,datasets/brain-tumor/labels/val/val_1 (100).txt,True,0.04896773770451546,0.6963134407997131,0,0.6963134407997131
datasets/brain-tumor/images/val/val_1 (101).jpg,datasets/brain-tumor/labels/val/val_1 (101).txt,False,0.5684918165206909,0.6741551160812378,0,0.6741551160812378
datasets/brain-tumor/images/val/val_1 (102).jpg,datasets/brain-tumor/labels/val/val_1 (102).txt,True,0.8206104040145874,0.8206104040145874,1,0.8206104040145874
datasets/brain-tumor/images/val/val_1 (103).jpg,datasets/brain-tumor/labels/val/val_1 (103).txt,False,0.4126257002353668,0.6033830046653748,0,0.6033830046653748
datasets/brain-tumor/images/val/val_1 (104).jpg,datasets/brain-tumor/labels/val/val_1 (104).txt,True,0.1404629647731781,0.9004514217376709,0,0.9004514217376709
datasets/brain-tumor/images/val/val_1 (105).jpg,datasets/brain-tumor/labels/val/val_1 (105).txt,True,0.9240092635154724,0.9240092635154724,1,0.9240092635154724
datasets/brain-tumor/images/val/val_1 (106).jpg,datasets/brain-tumor/labels/val/val_1 (106).txt,True,0.688293993473053,0.688293993473053,1,0.688293993473053
datasets/brain-tumor/images/val/val_1 (107).jpg,datasets/brain-tumor/labels/val/val_1 (107).txt,True,0.7631178498268127,0.7631178498268127,1,0.7631178498268127
datasets/brain-tumor/images/val/val_1 (108).jpg,datasets/brain-tumor/labels/val/val_1 (108).txt,False,0.5045419931411743,0.5045419931411743,1,0.5045419931411743
datasets/brain-tumor/images/val/val_1 (109).jpg,datasets/brain-tumor/labels/val/val_1 (109).txt,False,0.722791850566864,0.722791850566864,1,0.722791850566864
datasets/brain-tumor/images/val/val_1 (11).jpg,datasets/brain-tumor/labels/val/val_1 (11).txt,False,0.0,0.9328858852386475,0,0.9328858852386475
datasets/brain-tumor/images/val/val_1 (110).jpg,datasets/brain-tumor/labels/val/val_1 (110).txt,True,0.8802578449249268,0.8802578449249268,1,0.8802578449249268
datasets/brain-tumor/images/val/val_1 (111).jpg,datasets/brain-tumor/labels/val/val_1 (111).txt,True,0.5610296130180359,0.5610296130180359,1,0.5610296130180359
datasets/brain-tumor/images/val/val_1 (112).jpg,datasets/brain-tumor/labels/val/val_1 (112).txt,False,0.781019926071167,0.781019926071167,1,0.781019926071167
datasets/brain-tumor/images/val/val_1 (113).jpg,datasets/brain-tumor/labels/val/val_1 (113).txt,False,0.0,0.7817062139511108,0,0.7817062139511108
datasets/brain-tumor/images/val/val_1 (114).jpg,datasets/brain-tumor/labels/val/val_1 (114).txt,False,0.8169685006141663,0.8169685006141663,1,0.8169685006141663
datasets/brain-tumor/images/val/val_1 (115).jpg,datasets/brain-tumor/labels/val/val_1 (115).txt,False,0.8889614939689636,0.8889614939689636,1,0.8889614939689636
datasets/brain-tumor/images/val/val_1 (116).jpg,datasets/brain-tumor/labels/val/val_1 (116).txt,False,0.8560276627540588,0.8560276627540588,1,0.8560276627540588
datasets/brain-tumor/images/val/val_1 (117).jpg,datasets/brain-tumor/labels/val/val_1 (117).txt,True,0.8471642136573792,0.8858393430709839,0,0.8858393430709839
datasets/brain-tumor/images/val/val_1 (118).jpg,datasets/brain-tumor/labels/val/val_1 (118).txt,True,0.09930513799190521,0.8171674609184265,0,0.8171674609184265
datasets/brain-tumor/images/val/val_1 (119).jpg,datasets/brain-tumor/labels/val/val_1 (119).txt,False,0.0,0.9296244978904724,0,0.9296244978904724
datasets/brain-tumor/images/val/val_1 (12).jpg,datasets/brain-tumor/labels/val/val_1 (12).txt,False,0.3828458786010742,0.7450519800186157,0,0.7450519800186157
datasets/brain-tumor/images/val/val_1 (120).jpg,datasets/brain-tumor/labels/val/val_1 (120).txt,False,0.0,0.31726890802383423,0,0.31726890802383423
datasets/brain-tumor/images/val/val_1 (121).jpg,datasets/brain-tumor/labels/val/val_1 (121).txt,True,0.8830347657203674,0.8830347657203674,1,0.8830347657203674
datasets/brain-tumor/images/val/val_1 (122).jpg,datasets/brain-tumor/labels/val/val_1 (122).txt,False,0.8853871822357178,0.8853871822357178,1,0.8853871822357178
datasets/brain-tumor/images/val/val_1 (123).jpg,datasets/brain-tumor/labels/val/val_1 (123).txt,False,0.7432593703269958,0.7432593703269958,1,0.7432593703269958
datasets/brain-tumor/images/val/val_1 (124).jpg,datasets/brain-tumor/labels/val/val_1 (124).txt,False,0.7672964930534363,0.7672964930534363,1,0.7672964930534363
datasets/brain-tumor/images/val/val_1 (125).jpg,datasets/brain-tumor/labels/val/val_1 (125).txt,False,0.0,0.7639855146408081,0,0.7639855146408081
datasets/brain-tumor/images/val/val_1 (126).jpg,datasets/brain-tumor/labels/val/val_1 (126).txt,False,0.6294687390327454,0.6294687390327454,1,0.6294687390327454
datasets/brain-tumor/images/val/val_1 (127).jpg,datasets/brain-tumor/labels/val/val_1 (127).txt,False,0.8789052963256836,0.8789052963256836,1,0.8789052963256836
datasets/brain-tumor/images/val/val_1 (128).jpg,datasets/brain-tumor/labels/val/val_1 (128).txt,False,0.6490177512168884,0.6490177512168884,1,0.6490177512168884
