threshold,tp,fp,tn,fn,precision,recall,specificity,f1
0.01,73,117,25,8,0.38421052631578945,0.9012345679012346,0.176056338028169,0.5387453874538745
0.03,69,116,26,12,0.372972972972973,0.8518518518518519,0.18309859154929578,0.518796992481203
0.05,67,115,27,14,0.36813186813186816,0.8271604938271605,0.19014084507042253,0.5095057034220533
0.08,67,114,28,14,0.3701657458563536,0.8271604938271605,0.19718309859154928,0.5114503816793893
0.1,66,113,29,15,0.3687150837988827,0.8148148148148148,0.20422535211267606,0.5076923076923077
0.15,63,112,30,18,0.36,0.7777777777777778,0.2112676056338028,0.49218749999999994
0.2,63,110,32,18,0.36416184971098264,0.7777777777777778,0.22535211267605634,0.49606299212598426
0.25,62,104,38,19,0.37349397590361444,0.7654320987654321,0.2676056338028169,0.5020242914979757
0.3,61,99,43,20,0.38125,0.7530864197530864,0.3028169014084507,0.5062240663900416
0.4,61,94,48,20,0.3935483870967742,0.7530864197530864,0.3380281690140845,0.516949152542373
0.5,58,82,60,23,0.4142857142857143,0.7160493827160493,0.4225352112676056,0.5248868778280543
